fav_number,statuses_count,followers_count,friends_count,favourites_count,listed_count,lang,location,default_profile,profile_use_background_image,profile_text_color,profile_sidebar_border_color,profile_sidebar_fill_color,profile_background_color,profile_link_color,description,dataset
1,24,4,588,16,0,1,1678,0.0,1.0,43,125,108,178,78,2534,1
898,656,57,693,597,0,1,614,1.0,1.0,43,75,108,166,10,2259,1
4507,1234,15,104,1150,0,1,544,0.0,1.0,43,105,138,39,232,2534,1
0,573,14,227,530,0,1,1000,0.0,1.0,26,75,108,166,10,2534,1
2321,675,18,519,653,0,1,1511,1.0,1.0,43,75,108,166,10,2534,1
5033,1333,73,1998,1262,1,1,1678,0.0,1.0,43,105,138,61,232,2534,1
14,99,26,1548,80,0,2,1678,1.0,1.0,43,75,108,166,10,2534,1
203,553,63,1930,497,0,1,962,1.0,1.0,43,75,108,166,10,840,1
13,1576,8,501,1402,1,1,975,0.0,1.0,7,109,173,160,356,2309,1
136443,1378,48,1998,1108,0,1,1678,1.0,1.0,43,75,108,166,10,2534,1
69395,1444,35,390,1283,0,1,1391,0.0,1.0,43,75,108,55,112,2220,1
1316,1351,7,328,1273,1,1,1678,1.0,1.0,43,75,108,166,10,2534,1
1320,43,17,641,0,0,1,330,1.0,1.0,43,75,108,166,10,1903,1
24,50,20,630,0,0,1,541,1.0,1.0,43,75,108,166,10,133,1
1170,68,22,602,0,0,1,75,1.0,1.0,43,75,108,166,10,388,1
30,60,14,592,0,0,1,1668,1.0,1.0,43,75,108,166,10,2534,1
23,52,27,620,0,0,1,999,1.0,1.0,43,75,108,166,10,1596,1
1044,67,32,639,0,0,1,1576,1.0,1.0,43,75,108,166,10,762,1
0,44,21,614,0,0,1,1570,1.0,1.0,43,75,108,166,10,2177,1
79060,66,23,650,0,0,1,1515,1.0,1.0,43,75,108,166,10,2232,1
3939,56,20,643,0,0,1,1345,1.0,1.0,43,75,108,166,10,2534,1
337,65,23,641,0,0,1,406,1.0,1.0,43,75,108,166,10,601,1
56,79,20,779,0,0,1,75,1.0,1.0,43,75,108,166,10,836,1
11,59,16,622,0,0,1,1396,1.0,1.0,43,75,108,166,10,2534,1
417,64,15,649,0,0,1,237,1.0,1.0,43,75,108,166,10,1225,1
0,81,29,756,0,0,1,645,1.0,1.0,43,75,108,166,10,2486,1
1507,62,25,600,0,0,1,1361,1.0,1.0,43,75,108,166,10,2251,1
11988,70,22,621,0,0,1,51,1.0,1.0,43,75,108,166,10,2534,1
1114,52,19,735,0,0,1,1327,1.0,1.0,43,75,108,166,10,1438,1
