Retweet Count,Mention Count,Follower Count,Verified,Bot Label,Location,Hashtags,Account Year,Account Month,Account Day
85,1,2353,False,1,85,19421,2020,5,11
55,5,9617,True,0,19263,4109,2022,11,26
6,2,4363,True,0,6482,21583,2022,8,8
54,5,2242,True,1,10904,9739,2021,8,14
26,3,8438,False,1,1693,11598,2020,4,13
41,4,3792,True,1,23338,1955,2023,5,7
54,0,10,True,0,20374,22484,2021,1,21
64,0,1442,False,1,19760,20439,2022,6,12
25,2,836,False,0,8572,19421,2021,12,19
67,3,6523,False,1,23678,2768,2022,7,30
57,4,8694,False,1,6471,19421,2020,8,30
29,1,5986,True,1,19069,31308,2021,3,12
60,2,6779,False,0,7790,19421,2021,6,13
61,0,6073,True,0,17320,31924,2023,5,13
21,2,4846,False,0,22003,6789,2020,11,16
78,1,2342,False,0,6256,30876,2020,12,20
64,5,6947,False,1,17771,455,2022,4,16
43,4,7945,False,0,2038,9749,2022,12,2
39,0,8305,True,1,23526,6672,2021,1,4
8,2,1256,False,0,11016,6648,2022,12,16
26,4,653,True,1,9244,19421,2020,4,20
84,4,5466,False,0,9568,19421,2020,2,28
86,1,5131,True,1,9678,31072,2021,7,29
55,0,5278,False,1,10437,21844,2020,8,4
56,1,3347,True,1,17829,33620,2020,8,4
43,2,4851,False,0,3926,585,2020,6,15
49,5,7600,False,1,718,19421,2021,7,4
7,0,706,False,1,14668,19421,2020,9,8
75,1,7313,True,1,17283,400,2020,5,22
39,0,337,False,1,5653,9073,2021,7,11
77,1,7006,False,0,14887,27124,2020,1,7
40,2,697,True,0,17756,18128,2021,10,17
25,5,4517,True,0,19142,8069,2022,4,16
15,2,1785,True,0,20536,25957,2020,3,22
85,0,4057,True,1,24416,25866,2022,5,2
13,0,7925,False,0,18931,3346,2021,2,24
63,4,2804,True,1,14741,26001,2020,11,19
75,4,3544,True,1,1393,24677,2020,9,9
58,1,2063,False,0,7109,19421,2021,2,2
34,5,466,False,0,18962,25846,2022,1,4
66,1,2852,False,1,19398,11713,2021,7,22
18,0,3782,True,0,8155,18387,2021,4,4
0,3,4581,False,0,17596,18014,2023,5,15
21,3,6979,False,0,13159,27478,2021,10,2
7,3,7523,True,0,11522,18903,2022,2,8
39,0,3755,False,0,6503,12537,2021,11,5
34,4,6933,False,0,22072,28610,2022,6,2
72,0,8386,False,1,16677,19421,2021,11,17
24,5,4096,False,1,13830,15550,2022,8,12
77,0,7967,False,1,14723,11017,2022,6,6
87,5,5785,True,0,4433,20982,2020,3,3
44,1,7504,True,0,23402,31336,2021,10,1
46,4,7074,False,0,3608,2400,2020,2,19
44,4,1910,False,1,23692,20168,2023,2,7
10,4,415,True,0,334,15278,2020,11,24
23,4,6001,True,0,9188,19421,2020,3,7
28,3,1723,False,1,19747,10214,2021,1,26
43,1,2461,False,0,14513,31569,2022,12,9
3,1,5049,True,1,14446,14099,2022,3,7
86,5,1385,True,1,8382,20355,2022,7,25
8,2,7760,True,0,24395,15281,2020,1,24
71,2,1639,False,1,7329,2042,2020,7,24
89,1,2309,False,1,18053,33395,2020,11,11
10,0,51,True,0,8497,19421,2021,7,9
59,5,1918,True,1,21126,9600,2023,3,22
97,2,3028,True,0,14972,19421,2023,2,27
70,5,2560,False,0,7791,832,2020,5,3
88,4,4914,False,0,12369,19421,2021,6,11
6,0,4710,False,1,17593,3646,2021,8,16
